Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.47uF,
C2,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,0.1uF,
C3,CP_Radial_D5.0mm_P2.00mm,1,100uF,
C4,CP_Radial_D5.0mm_P2.00mm,1,10uF,
"C5, C6, C7, C8",0603,4,0.1uF,
"D1, D25, D3, D5, D7",Right Angle LED Reversed,5,LED,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,
"D2, D26, D27, D28, D4, D6, D8",Right Angle LED,7,LED,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Headlight,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
"M1, M2, M3, M4",N20 Motor,4,~,
"Q1, Q2",SOT-23-3,2,NPN,
"R1, R10, R11, R12, R13, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,12,100,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,20k,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
"U2, U3",SSOP-24_5.3x8.2mm_P0.65mm,2,TB6612FNG,
U4,SOP-16_3.9x9.9mm_P1.27mm,1,PAM8403D,
"U5, U6",Vishay_MINICAST-3Pin,2,TSDP341xx,
U7,DC Buck Converter,1,~,
